Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 4 vs Lakers,3:24.0,77.0,103.0,Kobe Bryant,Make,,makes 2-pt jump shot from 18 ft
Game 1 vs OKC Thunder,4:50.0,101.0,102.0,Kevin Durant,Make,,makes 2-pt jump shot from 14 ft
Game 1 vs OKC Thunder,3:15.0,104.0,107.0,Russell Westbrook,Miss,,misses 2-pt layup from 2 ft
Game 1 vs OKC Thunder,2:30.0,106.0,109.0,Kevin Durant,Miss,,misses 3-pt jump shot from 26 ft
Game 1 vs OKC Thunder,0:55.0,110.0,115.0,Kevin Durant,Make,,makes 3-pt jump shot from 26 ft
Game 1 vs OKC Thunder,0:18.0,112.0,118.0,Russell Westbrook,Make,,makes 2-pt layup from 2 ft
Game 2 vs OKC Thunder,4:47.0,98.0,92.0,Dirk Nowitzki,Miss,2PT,4:47.0	 	 	98-92	 	D. Nowitzki misses 2-pt layup from 1 ft (block by N. Collison)
Game 2 vs OKC Thunder,4:25.0,98.0,92.0,Kevin Durant,Miss,,misses 2-pt jump shot from 17 ft
Game 2 vs OKC Thunder,4:18.0,98.0,92.0,Jason Terry,Miss,3PT,4:18.0	 	 	98-92	 	J. Terry misses 3-pt jump shot from 25 ft
Game 2 vs OKC Thunder,3:40.0,100.0,92.0,Dirk Nowitzki,Turnover,,3:40.0	 	 	100-92	 	Turnover by D. Nowitzki (lost ball; steal by N. Collison)
Game 2 vs OKC Thunder,3:40.0,98.0,91.0,Russell Westbrook,Make,,makes 2-pt jump shot from 16 ft
Game 2 vs OKC Thunder,3:03.0,102.0,92.0,Dirk Nowitzki,Miss,2PT,3:03.0	 	 	102-92	 	D. Nowitzki misses 2-pt jump shot from 16 ft
Game 2 vs OKC Thunder,2:52.0,102.0,94.0,Dirk Nowitzki,Make,2PT,2:52.0	 	 	102-94	+2	D. Nowitzki makes 2-pt jump shot from 7 ft
Game 2 vs OKC Thunder,2:24.0,102.0,94.0,Kevin Durant,Miss,,misses 2-pt jump shot from 23 ft
Game 2 vs OKC Thunder,2:11.0,102.0,96.0,Dirk Nowitzki,Make,2PT,2:11.0	 	 	102-96	+2	D. Nowitzki makes 2-pt layup from 1 ft
Game 2 vs OKC Thunder,1:47.0,102.0,96.0,Kevin Durant,Turnover,,Turnover by K. Durant (lost ball; steal by J. Kidd)
Game 2 vs OKC Thunder,1:30.0,102.0,96.0,Jason Kidd,Turnover,,1:30.0	 	 	102-96	 	Turnover by J. Kidd (bad pass)
Game 2 vs OKC Thunder,1:19.0,102.0,96.0,DeShawn Stevenson,Foul,,1:19.0	Shooting foul by D. Stevenson (drawn by N. Collison)	 	102-96
Game 2 vs OKC Thunder,1:15.0,104.0,98.0,Russell Westbrook,Miss,,misses 3-pt jump shot from 25 ft
Game 2 vs OKC Thunder,1:05.0,102.0,96.0,Jason Kidd,Miss,3PT,1:05.0	 	 	102-96	 	J. Kidd misses 3-pt jump shot from 23 ft
Game 2 vs OKC Thunder,1:03.0,102.0,97.0,DeShawn Stevenson,Make,FT,1:03.0	 	 	102-97	+1	D. Stevenson makes free throw 1 of 2
Game 2 vs OKC Thunder,1:03.0,102.0,98.0,DeShawn Stevenson,Make,FT,1:03.0	 	 	102-98	+1	D. Stevenson makes free throw 2 of 2
Game 2 vs OKC Thunder,0:47.8,102.0,98.0,Dirk Nowitzki,Foul,,0:47.8	Shooting foul by D. Nowitzki (drawn by N. Collison)	 	102-98
Game 2 vs OKC Thunder,0:36.7,104.0,99.0,Dirk Nowitzki,Make,FT,0:36.7	 	 	104-99	+1	D. Nowitzki makes free throw 1 of 3
Game 2 vs OKC Thunder,0:36.7,104.0,99.0,Dirk Nowitzki,Miss,FT,0:36.7	 	 	104-99	 	D. Nowitzki misses free throw 2 of 3
Game 2 vs OKC Thunder,0:36.7,104.0,100.0,Dirk Nowitzki,Make,FT,0:36.7	 	 	104-100	+1	D. Nowitzki makes free throw 3 of 3
Game 2 vs OKC Thunder,0:09.9,104.0,100.0,Peja Stojakovic,Miss,3PT,0:09.9	 	 	104-100	 	P. Stojaković misses 3-pt jump shot from 26 ft
Game 2 vs OKC Thunder,0:08.4,104.0,100.0,Tyson Chandler,Foul,,0:08.4	Personal take foul by T. Chandler (drawn by T. Sefolosha)	 	104-100
Game 2 vs OKC Thunder,0:00.9,106.0,100.0,Jason Terry,Miss,3PT,0:00.9	 	 	106-100	 	J. Terry misses 3-pt jump shot from 24 ft
Game 2 vs OKC Thunder,0:00.3,106.0,100.0,Tyson Chandler,Miss,2PT,0:00.3	 	 	106-100	 	T. Chandler misses 2-pt layup from 1 ft (block by K. Durant)
Game 3 vs OKC Thunder,5:01.0,82.0,74.0,Kevin Durant,Miss,,misses 2-pt layup from 1 ft (block by T. Chandler)
Game 3 vs OKC Thunder,4:53.0,82.0,74.0,Dirk Nowitzki,Miss,2PT,4:53.0	D. Nowitzki misses 2-pt layup from 3 ft (block by N. Collison)	 	82-74
Game 3 vs OKC Thunder,4:45.0,82.0,74.0,Dirk Nowitzki,Miss,2PT,4:45.0	D. Nowitzki misses 2-pt jump shot from 10 ft (block by K. Durant)	 	82-74
Game 3 vs OKC Thunder,4:33.0,74.0,82.0,Russell Westbrook,Miss,,misses 2-pt layup from 3 ft
Game 3 vs OKC Thunder,4:21.0,82.0,74.0,Shawn Marion,Foul,,4:21.0	 	 	82-74	 	Shooting foul by S. Marion (drawn by R. Westbrook)
Game 3 vs OKC Thunder,4:21.0,74.0,82.0,Russell Westbrook,Miss,,misses free throw 1 of 2
Game 3 vs OKC Thunder,4:21.0,75.0,82.0,Russell Westbrook,Make,,makes free throw 2 of 2
Game 3 vs OKC Thunder,3:57.0,84.0,75.0,Dirk Nowitzki,Make,2PT,3:57.0	D. Nowitzki makes 2-pt jump shot from 15 ft (assist by J. Terry)	+2	84-75
Game 3 vs OKC Thunder,3:46.0,84.0,75.0,Shawn Marion,Foul,,3:46.0	 	 	84-75	 	Personal foul by S. Marion (drawn by K. Durant)
Game 3 vs OKC Thunder,3:46.0,76.0,84.0,Kevin Durant,Make,,makes free throw 1 of 2
Game 3 vs OKC Thunder,3:46.0,76.0,84.0,Kevin Durant,Miss,,misses free throw 2 of 2
Game 3 vs OKC Thunder,3:31.0,84.0,76.0,Dirk Nowitzki,Turnover,,3:31.0	Turnover by D. Nowitzki (lost ball; steal by N. Collison)	 	84-76
Game 3 vs OKC Thunder,3:02.0,84.0,78.0,Jason Terry,Miss,2PT,3:02.0	J. Terry misses 2-pt jump shot from 6 ft	 	84-78
Game 3 vs OKC Thunder,2:54.0,78.0,84.0,Russell Westbrook,Miss,,misses 3-pt jump shot from 24 ft
Game 3 vs OKC Thunder,2:36.0,84.0,78.0,Dirk Nowitzki,Miss,2PT,2:36.0	D. Nowitzki misses 2-pt jump shot from 14 ft	 	84-78
Game 3 vs OKC Thunder,2:07.0,84.0,78.0,Dirk Nowitzki,Turnover,,2:07.0	Turnover by D. Nowitzki (out of bounds lost ball)	 	84-78
Game 3 vs OKC Thunder,2:02.0,78.0,84.0,Russell Westbrook,Turnover,,Turnover by R. Westbrook (out of bounds lost ball)
Game 3 vs OKC Thunder,1:42.0,86.0,78.0,Jason Terry,Make,2PT,1:42.0	J. Terry makes 2-pt jump shot from 11 ft	+2	86-78
Game 3 vs OKC Thunder,1:10.0,86.0,78.0,Jason Kidd,Miss,2PT,1:10.0	J. Kidd misses 2-pt jump shot from 10 ft	 	86-78
Game 3 vs OKC Thunder,1:02.0,86.0,78.0,Jason Kidd,Foul,,1:02.0	 	 	86-78	 	Shooting foul by J. Kidd (drawn by K. Durant)
Game 3 vs OKC Thunder,1:02.0,79.0,86.0,Kevin Durant,Make,,makes free throw 1 of 2
Game 3 vs OKC Thunder,1:02.0,80.0,86.0,Kevin Durant,Make,,makes free throw 2 of 2
Game 3 vs OKC Thunder,0:42.8,88.0,80.0,Dirk Nowitzki,Make,2PT,0:42.8	D. Nowitzki makes 2-pt jump shot from 14 ft	+2	88-80
Game 3 vs OKC Thunder,0:35.1,83.0,88.0,Russell Westbrook,Make,,makes 3-pt jump shot from 24 ft
Game 3 vs OKC Thunder,0:33.6,88.0,83.0,Jason Kidd,Miss,FT,0:33.6	J. Kidd misses free throw 1 of 2	 	88-83
Game 3 vs OKC Thunder,0:33.6,89.0,83.0,Jason Kidd,Make,FT,0:33.6	J. Kidd makes free throw 2 of 2	+1	89-83
Game 3 vs OKC Thunder,0:24.8,83.0,89.0,Russell Westbrook,Miss,,misses 2-pt layup from 1 ft
Game 3 vs OKC Thunder,0:24.0,85.0,89.0,Kevin Durant,Make,,makes 2-pt layup from 2 ft
Game 3 vs OKC Thunder,0:23.3,90.0,85.0,Dirk Nowitzki,Make,FT,0:23.3	D. Nowitzki makes free throw 1 of 2	+1	90-85
Game 3 vs OKC Thunder,0:23.3,91.0,85.0,Dirk Nowitzki,Make,FT,0:23.3	D. Nowitzki makes free throw 2 of 2	+1	91-85
