--- SECTION 1: CLUTCH IDENTITY SUMMARY (FG and FT) ---
Player,FGM,FGA,FG%,FTM,FTA,FT%
Dirk Nowitzki,31,52,59.62,54,58,93.1
Jason Terry,10,34,29.41,16,16,100.0
Jason Kidd,6,15,40.0,13,16,81.25
Shawn Marion,7,10,70.0,7,8,87.5
Tyson Chandler,3,7,42.86,2,4,50.0
Peja Stojakovic,1,3,33.33,0,0,0.0
DeShawn Stevenson,0,2,0.0,2,2,100.0
J.J. Barea,1,1,100.0,2,4,50.0
Brendan Haywood,0,0,0.0,0,2,0.0


--- SECTION 2: FULL PLAY-BY-PLAY LOG WITH SPLIT SCORES ---
Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 3 vs Lakers,3:23.0,87,85,Jason Kidd,Make,FT,3:23.0	 	 	87-85	+1	J. Kidd makes free throw 1 of 2
Game 3 vs Lakers,3:23.0,87,86,Jason Kidd,Make,FT,3:23.0	 	 	87-86	+1	J. Kidd makes free throw 2 of 2
Game 3 vs Lakers,2:40.0,87,87,Dirk Nowitzki,Make,FT,2:40.0	 	 	87-87	+1	D. Nowitzki makes free throw 1 of 2
Game 3 vs Lakers,2:40.0,87,88,Dirk Nowitzki,Make,FT,2:40.0	 	 	87-88	+1	D. Nowitzki makes free throw 2 of 2
Game 3 vs Lakers,2:01.0,89,91,Jason Terry,Make,3PT,2:01.0	 	 	89-91	+3	J. Terry makes 3-pt jump shot from 22 ft (assist by J. Kidd)
Game 3 vs Lakers,1:23.0,91,93,Dirk Nowitzki,Make,2PT,1:23.0	 	 	91-93	+2	D. Nowitzki makes 2-pt hook shot from 5 ft
Game 3 vs Lakers,0:40.9,91,93,Peja Stojakovic,Miss,2PT,0:40.9	 	 	91-93	 	P. Stojaković misses 2-pt jump shot from 16 ft
Game 3 vs Lakers,0:18.7,91,94,Jason Terry,Make,FT,0:18.7	 	 	91-94	+1	J. Terry makes free throw 1 of 2
Game 3 vs Lakers,0:18.7,91,95,Jason Terry,Make,FT,0:18.7	 	 	91-95	+1	J. Terry makes free throw 2 of 2
Game 3 vs Lakers,0:16.6,91,96,Jason Terry,Make,FT,0:16.6	 	 	91-96	+1	J. Terry makes free throw 1 of 2
Game 3 vs Lakers,0:16.6,91,97,Jason Terry,Make,FT,0:16.6	 	 	91-97	+1	J. Terry makes free throw 2 of 2
Game 3 vs Lakers,0:09.0,91,97,Tyson Chandler,Foul,N/A,0:09.0	Shooting foul by T. Chandler (drawn by P. Gasol)	 	91-97
Game 3 vs Lakers,0:08.5,92,98,Jason Kidd,Make,FT,0:08.5	 	 	92-98	+1	J. Kidd makes free throw 1 of 2
Game 3 vs Lakers,0:08.5,92,98,Jason Kidd,Miss,FT,0:08.5	 	 	92-98	 	J. Kidd misses free throw 2 of 2
